Fish_ID,Aquarium,Acclimation,MMR_Hypoxic_mg/h/g,MMR_Normoxic__mg/h/g,SMR_Hypoxic__mg/h/g,SMR_Normoxic__mg/h/g,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,MMR_Hypoxic_scaled,MMR_Normoxic_scaled,SMR_Hypoxic_scaled,SMR_Normoxic_scaled,AS_H,AS_N,Harvested,Metric,Hypoxia,Normoxia,Recovery,NormoxiaDrop1,NormoxiaDrop2,NormoxiaDrop3,HypoxiaDrop4,HypoxiaDrop5,HypoxiaDrop6,RecoveryDrop7,RecoveryDrop8,RecoveryDrop9,ControlNormoxiaDrop1,ControlNormoxiaDrop2,ControlNormoxiaDrop3,ControlNormoxiaDrop4,ControlNormoxiaDrop5,ControlNormoxiaDrop6,ControlNormoxiaDrop7,ControlNormoxiaDrop8,ControlNormoxiaDrop9,ControlHypoxiaDrop1,ControlHypoxiaDrop2,ControlHypoxiaDrop3
12ml,12,Hypoxia acclimated,0.741,1.118,0.072,0.309,M,0.12,0.14,18,18.5,0.27,0.13,0.195,0.295,0.017,0.072,0.178,0.223,Small,Time,6.86666666666667,47.8,10.9666666666667,2200,780,100,80,60,100,800,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12mp,12,Hypoxia acclimated,0.422,0.857,0.1,0.254,M,0.08,0.09,16,16.5,0.2,0.09,0.106,0.214,0.021,0.053,0.085,0.161,Small,Distance,72.5567246333333,471.408515266667,163.752852933333,2400,NA,700,0,120,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12mp,12,Hypoxia acclimated,0.422,0.857,0.1,0.254,M,0.08,0.09,16,16.5,0.2,0.09,0.106,0.214,0.021,0.053,0.085,0.161,Small,Speed,6.309280402,8.325588191,8.684594439,2400,NA,700,0,120,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12mp,12,Hypoxia acclimated,0.422,0.857,0.1,0.254,M,0.08,0.09,16,16.5,0.2,0.09,0.106,0.214,0.021,0.053,0.085,0.161,Small,Time,11.5,57.5666666666667,18.8555555566667,2400,NA,700,0,120,1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1fb,1,Hypoxia acclimated,0.619,0.528,0.219,0.305,F,0.16,0.3,19,22,1.08,0.28,0.182,0.155,0.064,0.089,0.118,0.066,Random,Distance,215.285976333333,373.265214733333,385.696474733333,NA,100,120,200,NA,100,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1fb,1,Hypoxia acclimated,0.619,0.528,0.219,0.305,F,0.16,0.3,19,22,1.08,0.28,0.182,0.155,0.064,0.089,0.118,0.066,Random,Speed,7.4513145235,7.636885864,8.29323337,NA,100,120,200,NA,100,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1fb,1,Hypoxia acclimated,0.619,0.528,0.219,0.305,F,0.16,0.3,19,22,1.08,0.28,0.182,0.155,0.064,0.089,0.118,0.066,Random,Time,30.9,48.77777778,48.0666666666667,NA,100,120,200,NA,100,NA,NA,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1fg,1,Hypoxia acclimated,0.628,1.035,0.172,0.272,F,0.23,0.45,20.5,25.5,1.16,0.41,0.194,0.32,0.056,0.088,0.138,0.232,Random,Distance,313.477951733333,672.355696666667,435.755784533333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,140,0
1fg,1,Hypoxia acclimated,0.628,1.035,0.172,0.272,F,0.23,0.45,20.5,25.5,1.16,0.41,0.194,0.32,0.056,0.088,0.138,0.232,Random,Speed,6.6034850995,7.6752413595,7.1586014945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,140,0
1fg,1,Hypoxia acclimated,0.628,1.035,0.172,0.272,F,0.23,0.45,20.5,25.5,1.16,0.41,0.194,0.32,0.056,0.088,0.138,0.232,Random,Time,45.5888888766667,86.1222222333333,60.9222222333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,140,0
