Fish_ID,Aquarium,Acclimation,sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,Treatment,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS
9fb,9,Normoxia acclimated,F,0.17,0.44,20.5,26,1.64,0.34,0.41,Normoxia,0.61,0.299,0.184,0.092,0.092
9fl,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,Hypoxia,0.528,0.142,0.164,0.046,0.118
9fl,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,Normoxia,1.015,0.248,0.315,0.081,0.234
9fp,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,Hypoxia,0.562,0.194,0.182,0.069,0.113
9fp,9,Normoxia acclimated,F,0.19,0.82,20,29.5,2.52,0.57,0.67,Normoxia,0.727,0.251,0.236,0.09,0.146
9mb,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,Hypoxia,0.492,0.136,0.128,0.031,0.097
9mb,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,Normoxia,1.153,0.201,0.3,0.046,0.254
9mg,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,Hypoxia,0.998,0.415,0.26,0.094,0.166
9mg,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,Normoxia,1.013,0.524,0.264,0.119,0.145
9ml,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,Hypoxia,0.555,0.24,0.146,0.056,0.09
9ml,9,Normoxia acclimated,M,0.12,0.13,19,18.5,0.14,0.13,-0.05,Normoxia,0.957,0.513,0.252,0.12,0.132
9mp,9,Normoxia acclimated,M,0.13,0.17,18,19,0.46,0.16,0.09,Hypoxia,0.676,0.223,0.183,0.055,0.128
9mp,9,Normoxia acclimated,M,0.13,0.17,18,19,0.46,0.16,0.09,Normoxia,1.093,0.453,0.297,0.112,0.185
