"Fish_ID"	"Acclimation"	"Sex"	"Weight_finished"	"Treatment"	"MeanTimeSpentMoving"	"SDTimeSpentMoving"	"SkewnessTimeSpentMoving"	"KurtosisTimeSpentMoving"
"6fl"	"Not Acclimated"	"F"	0.65	"Hypoxia"	90.6083416338889	123.168271328946	0.676663837893826	1.5
"6fl"	"Not Acclimated"	"F"	0.65	"Normoxia"	183.815639556889	253.406081852853	0.656944693904612	1.5
"6fl"	"Not Acclimated"	"F"	0.65	"Recovery"	97.7914024957778	134.734268645283	0.683431811032507	1.5
"6fp"	"Not Acclimated"	"F"	0.33	"Hypoxia"	117.190278557333	161.008661783411	0.668014851840667	1.5
"6fp"	"Not Acclimated"	"F"	0.33	"Normoxia"	149.266005306333	204.848372783058	0.660213709065483	1.5
"6fp"	"Not Acclimated"	"F"	0.33	"Recovery"	127.062548137333	175.753365136793	0.669806008319015	1.5
"6mb"	"Not Acclimated"	"M"	0.09	"Hypoxia"	512.407299527222	811.398262004251	0.704127158211928	1.5
"6mb"	"Not Acclimated"	"M"	0.09	"Normoxia"	188.012811475778	263.752069826603	0.668895634821666	1.5
"6mb"	"Not Acclimated"	"M"	0.09	"Recovery"	264.829534372778	392.56030574249	0.689543558487348	1.5
"6mg"	"Not Acclimated"	"M"	0.11	"Hypoxia"	1379.314856861	2235.33107004777	0.704106204740931	1.5
"6mg"	"Not Acclimated"	"M"	0.11	"Normoxia"	486.379487635889	700.366214301093	0.669340461852159	1.5
"6mg"	"Not Acclimated"	"M"	0.11	"Recovery"	446.552378500556	638.069228659201	0.665760131056003	1.5
"6ml"	"Not Acclimated"	"M"	0.09	"Hypoxia"	146.226090774	205.708124410804	0.681828791225231	1.5
"6ml"	"Not Acclimated"	"M"	0.09	"Normoxia"	235.314227268222	331.461095737375	0.666363998079068	1.5
"6ml"	"Not Acclimated"	"M"	0.09	"Recovery"	132.724210209444	185.982155732047	0.676183207983629	1.5
"6mp"	"Not Acclimated"	"M"	0.09	"Hypoxia"	114.400865171667	155.102017089434	0.660397425820083	1.5
"6mp"	"Not Acclimated"	"M"	0.09	"Normoxia"	265.517008827556	369.982109566344	0.656114351473438	1.5
"6mp"	"Not Acclimated"	"M"	0.09	"Recovery"	146.651481813444	204.156079723641	0.665212208452873	1.5
"7fb"	"Not Acclimated"	"F"	0.25	"Hypoxia"	293.576216967556	421.21799310328	0.672748317400083	1.5
"7fb"	"Not Acclimated"	"F"	0.25	"Normoxia"	55.1008989327778	73.5700374807849	0.696830036622682	1.5
"7fb"	"Not Acclimated"	"F"	0.25	"Recovery"	122.178994340222	172.43985312959	0.686078255306894	1.5
"7fg"	"Not Acclimated"	"F"	1.11	"Hypoxia"	222.127182574333	328.42371295801	0.706997347569796	1.5
"7fg"	"Not Acclimated"	"F"	1.11	"Normoxia"	189.7403403215	271.573666237411	0.680105164203816	1.5
"7fg"	"Not Acclimated"	"F"	1.11	"Recovery"	132.895547968167	185.440306200181	0.677947705720594	1.5
"7fl"	"Not Acclimated"	"F"	0.63	"Hypoxia"	92.639589871	134.575934734906	0.704608080846061	1.5
"7fl"	"Not Acclimated"	"F"	0.63	"Normoxia"	68.8776275406667	94.7345491022345	0.693874296552635	1.5
"7fl"	"Not Acclimated"	"F"	0.63	"Recovery"	72.2905787458889	97.6794019471195	0.681932997207266	1.5
"7fp"	"Not Acclimated"	"F"	0.99	"Hypoxia"	90.9090344754444	122.524830500315	0.666879867849352	1.5
"7fp"	"Not Acclimated"	"F"	0.99	"Normoxia"	227.3172489505	345.470000955272	0.70369745045387	1.5
"7fp"	"Not Acclimated"	"F"	0.99	"Recovery"	56.7513686577778	74.730774430312	0.68073852492099	1.5
"7mb"	"Not Acclimated"	"M"	0.15	"Hypoxia"	64.1071693852222	87.3343090501387	0.69601282660804	1.5
"7mb"	"Not Acclimated"	"M"	0.15	"Normoxia"	44.3298677516667	58.0633325412583	0.702164028922183	1.5
"7mb"	"Not Acclimated"	"M"	0.15	"Recovery"	167.636863378167	237.71647989938	0.680856966375612	1.5
"7mg"	"Not Acclimated"	"M"	0.15	"Hypoxia"	186.608139470444	262.342844318918	0.670327609856867	1.5
"7mg"	"Not Acclimated"	"M"	0.15	"Normoxia"	175.943879529278	250.082570658606	0.677767031533774	1.5
"7mg"	"Not Acclimated"	"M"	0.15	"Recovery"	198.579527944167	286.666776616778	0.683735827093243	1.5
"7ml"	"Not Acclimated"	"M"	0.1	"Hypoxia"	136.562348183111	190.105644715495	0.673615099675039	1.5
"7ml"	"Not Acclimated"	"M"	0.1	"Normoxia"	188.805652908722	272.892781504478	0.685188305670686	1.5
"7ml"	"Not Acclimated"	"M"	0.1	"Recovery"	169.374835368333	245.078521789294	0.687675125710078	1.5
